EventID,FixedRandomValue
145,"7.400830.635278,3019"
146,"7.400830.635278,3019"
147,"7.400830.635278,3019"
148,"7.400830.635278,3019"
149,"7.400830.991984,8807"
150,"7.40083-0.0553317,11091"
151,"7.40083-0.781312,13227"
152,"7.400830.306093,2341"
153,"7.400830.238938,15221"
154,"7.400830.306093,2341"
155,"7.400830.306093,2341"
156,"7.400830.0526068,15560"
157,"7.400830.0526068,15560"
158,"7.400830.0526068,15560"
159,
160,
161,"7.400830.573012,13004"
162,"7.400830.306093,2341"
163,"7.40083-0.908339,3413"
164,"7.400830.306093,2341"
165,"7.40083-0.894802,24607"
166,"7.400830.0185554,483"
167,"7.400830.0185554,483"
168,
169,"7.40083-0.115589,14697"
170,
171,"7.40083-0.115589,14697"
172,"7.400830.0687728,2441"
173,"7.40083-0.012848,5752"
174,"7.400830.982155,13305"
175,"7.40083-0.347818,13101"
176,"7.400830.0219406,13650"
177,"7.400830.0317089,3407"
178,
179,
180,
181,
182,
183,
184,"7.400830.0317089,3407"
185,"7.400830.0317089,3407"
186,"7.400830.0317089,3407"
187,"7.40083-0.600847,12681"
188,"7.400830.0687728,2441"
189,"7.400830.333647,288"
190,"7.40083-0.012848,5752"
191,"7.40083-0.012848,5752"
192,
193,
194,
195,"7.400830.52356,1741"
196,
197,"7.40083-0.502885,12526"
198,"1.565080.462698,3732"
199,"7.400830.935616,13549"
200,
201,
202,"7.400830.257476,12522"
203,"7.400830.517811,5025"
204,"7.400830.642928,2309"
205,"7.40083-0.0373753,12824"
206,
207,"7.400830.968548,2059"
208,"7.40083-0.939539,2918"
209,"7.40083-0.219974,13222"
210,"7.40083-0.0753537,15136"
211,"7.40083-0.939539,2918"
212,
213,"7.400830.975018,5407"
214,"7.400830.975018,5407"
215,"7.400830.106762,2972"
216,
217,
218,"7.400830.0219406,13650"
219,
220,
221,
222,"7.400830.349323,12382"
223,"1.316070.998197,3431"
224,"7.40083-0.667323,3500"
225,"7.40083-0.405574,3082"
226,"7.40083-0.377623,4650"
227,
228,
229,
230,"7.40083-0.202308,12474"
231,"7.40083-0.87441,12593"
232,"7.40083-0.240592,12927"
233,"7.40083-0.48703,22651"
234,
235,
236,"7.400830.247253,12090"
237,
238,"7.40083-0.765192,12873"
239,"7.40083-0.0639653,4598"
240,"7.400830.681028,3017"
241,"7.40083-0.433587,14399"
242,
243,"7.400830.79806,1004"
244,
245,"7.40083-0.917066,12453"
246,
247,"7.40083-0.655379,4761"
248,"7.40083-0.655379,4761"
249,
250,"7.400830.315381,12584"
251,"7.400830.315381,12584"
252,"7.400830.315381,12584"
253,"7.400830.315381,12584"
254,"7.40083-0.347818,13101"
255,
256,
257,"7.40083-0.630754,2359"
258,
259,"7.40083-0.325096,2386"
261,"7.40083-0.0360796,2463"
262,"7.40083-0.347818,13101"
263,"7.40083-0.347818,13101"
264,
265,"7.400830.562691,2390"
266,"7.40083-0.408791,5122"
267,
268,
269,"7.40083-0.021322,5634"
270,"7.40083-0.021322,5634"
271,"7.40083-0.021322,5634"
272,"7.40083-0.021322,5634"
273,"7.40083-0.021322,5634"
274,"7.40083-0.021322,5634"
275,"7.40083-0.021322,5634"
276,"7.40083-0.021322,5634"
277,"7.40083-0.021322,5634"
278,"7.400830.237209,369"
279,"7.400830.237209,369"
280,"7.400830.237209,369"
281,"7.400830.237209,369"
282,"7.400830.237209,369"
283,
284,"7.40083-0.903945,12454"
285,"7.400830.286281,1077"
286,"7.400830.286281,1077"
287,
288,"7.400830.776422,16536"
289,"7.40083-0.0371044,966"
290,
291,"7.400830.882281,12384"
292,"7.400830.238938,15221"
293,"7.40083-0.189842,12297"
294,"7.40083-0.189842,12297"
295,"7.40083-0.189842,12297"
296,"7.400830.409321,2906"
297,"7.40083-0.120546,1283"
298,"7.40083-0.120546,1283"
299,"7.40083-0.120546,1283"
300,"7.40083-0.120546,1283"
301,"7.40083-0.964508,18891"
302,
303,"7.40083-0.120546,1283"
304,"7.40083-0.120546,1283"
305,"7.40083-0.120546,1283"
306,"1.316070.192292,19004"
307,"7.40083-0.0246687,13001"
308,"7.40083-0.684224,2853"
309,"7.400830.497675,2385"
310,
311,"7.400830.497675,2385"
312,"7.400830.497675,2385"
313,"7.400830.273556,24616"
314,"7.400830.0486454,3643"
315,
316,
317,"7.40083-0.129396,2548"
318,"7.400830.290339,1136"
319,"7.40083-0.280417,13595"
320,"7.400830.133118,22606"
321,"7.40083-0.870905,2114"
322,"7.40083-0.313764,15564"
323,"7.40083-0.0753537,15136"
324,
325,"7.40083-0.494499,4660"
326,
327,
328,"7.40083-0.556999,1553"
329,"7.40083-0.490188,3426"
330,"7.400830.0461523,3064"
331,"7.400830.306517,1372"
332,"7.40083-0.0847857,4749"
333,"7.40083-0.547255,2873"
336,
337,"7.400830.121122,3499"
338,"7.400830.704633,7921"
339,
340,"1.565080.365407,760"
342,"7.40083-0.793254,22830"
343,"7.40083-0.583887,6457"
345,"7.400830.0461523,3064"
346,"7.400830.852283,14707"
347,
348,
349,"7.40083-0.128072,8591"
351,
352,
353,"7.400830.0263125,7780"
354,"7.400830.839362,2007"
355,"7.400830.385742,14410"
356,"7.400830.979855,946"
357,"7.40083-0.504774,9591"
359,"7.400830.130988,1829"
360,"7.40083-0.30567,6054"
361,"7.40083-0.634067,19200"
362,
363,
364,
365,"7.40083-0.997333,8250"
366,
367,
368,"7.400830.554442,2938"
369,"7.400830.554442,2938"
370,
371,"7.400830.929019,3424"
372,"7.400830.888149,15222"
373,"7.400830.903198,5806"
374,"7.400830.903198,5806"
375,"7.400830.39728,984"
376,"7.400830.39728,984"
377,"1.316070.512454,13422"
378,"1.316070.512454,13422"
379,"7.400830.512454,13422"
380,
381,"7.40083-0.999995,12188"
382,"7.40083-0.066997,12411"
383,
384,"7.40083-0.999524,6731"
385,
386,"7.400830.982155,13305"
387,"7.400830.982155,13305"
388,"7.400830.982155,13305"
389,"7.400830.982155,13305"
390,
391,"7.40083-0.347818,13101"
392,
393,
394,
395,"7.400830.593802,2921"
396,
397,
398,
399,
400,"7.400830.548372,14012"
401,"7.400830.548372,14012"
402,"7.400830.156991,11891"
403,"7.40083-0.183627,12256"
404,"7.40083-0.151217,11231"
405,"7.40083-0.151217,11231"
406,"7.40083-0.151217,11231"
407,
408,"7.40083-0.559439,11973"
409,"7.400830.558107,12692"
410,"7.400830.192255,2496"
411,"7.400830.415948,14044"
412,"7.40083-0.99784,12800"
413,"7.40083-0.781312,13227"
414,
415,"7.400830.44001,3378"
416,"7.400830.469135,13218"
417,"7.400830.469135,13218"
418,"7.40083-0.976953,12262"
419,"7.400830.999543,12553"
420,"7.400830.999543,12553"
421,"7.400830.21304,19299"
422,"7.400830.999543,12553"
423,
425,"1.316070.324547,4602"
426,"7.400830.573012,13004"
427,"7.400830.812963,13216"
428,"7.400830.217179,19358"
429,"7.400830.397654,18771"
430,
431,"7.400830.0463259,12507"
432,"7.400830.0463259,12507"
433,"7.40083-0.214572,2920"
434,
435,"7.40083-0.214572,2920"
436,
437,
438,
439,"7.40083-0.214572,2920"
440,"7.40083-0.214572,2920"
441,"7.400830.683998,12495"
442,
443,"7.40083-0.214572,2920"
444,"7.40083-0.214572,2920"
445,"7.40083-0.214572,2920"
446,"7.40083-0.214572,2920"
447,"7.40083-0.214572,2920"
448,
449,
450,
451,
452,"7.400830.632135,12493"
453,"7.400830.114877,6552"
454,"7.400830.114877,6552"
455,"7.400830.197853,2773"
456,"7.400830.0400049,12046"
457,"7.40083-0.919662,3648"
458,"7.400830.34711,254"
459,"7.400830.245997,1729"
460,
461,"7.400830.34711,254"
462,"7.400830.773597,16763"
463,"7.400830.34711,254"
464,
465,
466,
467,
468,"1.31607-0.951145,3258"
469,"7.400830.543963,12456"
470,"7.400830.982155,13305"
471,"7.40083-0.967563,11642"
472,"7.400830.888149,15222"
473,"7.400830.888149,15222"
474,"1.316070.999469,83"
475,"7.40083-0.540142,2755"
476,"7.400830.748283,8806"
477,"7.400830.41586,13385"
478,
479,"7.40083-0.657671,12248"
480,"7.400830.168522,13211"
481,
482,
483,
484,
485,
486,"7.40083-0.31707,2268"
487,
489,"7.40083-0.625168,12838"
490,"7.40083-0.625168,12838"
491,"7.40083-0.610823,2713"
492,
493,
494,
495,"7.400830.357252,12500"
496,"7.40083-0.120546,1283"
497,"7.400830.357252,12500"
498,"7.400830.670703,13201"
499,"7.400830.670703,13201"
500,
501,"7.40083-0.150375,2843"
502,"7.40083-0.150375,2843"
503,
504,"1.316070.147601,13506"
505,"7.400830.812963,13216"
506,"7.400830.812963,13216"
507,
508,"7.40083-0.653623,13625"
509,"7.400830.30355,24619"
510,"7.400830.888149,15222"
511,"1.56508-0.951145,3258"
512,"7.40083-0.540142,2755"
513,"7.400830.674669,12672"
514,"7.400830.476518,14329"
515,
516,"7.40083-0.189842,12297"
517,
518,"7.400830.130816,13742"
519,
520,"7.40083-0.307916,6582"
521,"7.400830.193698,2714"
522,"7.400830.256317,4546"
523,"7.400830.256317,4546"
524,
525,
526,"7.400830.868018,2774"
527,"1.565080.990919,717"
528,"1.73205-0.950191,7749"
529,"7.400830.168694,2360"
530,"7.40083-0.825926,2779"
531,"7.40083-0.637442,13330"
532,"7.40083-0.637442,13330"
533,
534,"7.40083-0.251788,8318"
535,"7.400830.409321,2906"
536,
538,"7.400830.306093,2341"
539,"1.31607-0.0900287,3193"
540,"7.400830.767542,15148"
541,"7.40083-0.251788,8318"
542,"7.400830.163236,12662"
543,
544,"7.400830.460638,12596"
545,"7.400830.593802,2921"
546,"7.400830.0325601,10667"
547,"1.56508-0.282515,10660"
548,"7.40083-0.0503467,24505"
549,"1.31607-0.0553699,10409"
550,"7.400830.00714023,11021"
551,"1.565080.532384,10782"
553,"7.400830.336382,10792"
554,"7.40083-0.107204,6685"
555,"7.400830.0198518,10844"
556,"7.400830.779025,10952"
558,"7.400830.0113776,10962"
559,"7.400830.0113776,10962"
560,"7.40083-0.161518,19310"
562,"7.40083-0.810307,3515"
563,"7.40083-0.0140473,11316"
565,"7.40083-0.806343,3251"
566,"7.400830.632135,12493"
567,"1.565080.0844774,14391"
568,"1.565080.0844774,14391"
570,"7.40083-0.430935,3979"
571,"7.400830.109551,19321"
572,"7.40083-0.0194069,14557"
573,"7.40083-0.650278,2005"
574,"1.31607-0.917866,6053"
575,"7.400830.0705102,4207"
576,"7.40083-0.282645,4731"
577,"7.400830.0535927,4443"
578,"1.316070.990919,717"
579,"7.400830.0939783,8724"
580,"7.400830.0103905,9041"
581,"7.40083-0.00245771,14793"
582,
583,
584,
585,"7.400830.403327,11711"
586,"7.40083-0.931602,12984"
587,"7.40083-0.931602,12984"
588,"7.40083-0.999889,13508"
589,"7.40083-0.999889,13508"
590,"1.316070.123158,505"
591,"7.400830.123158,505"
592,"7.400830.0687728,2441"
593,"7.40083-0.926456,4261"
594,
595,"7.400830.0968677,2356"
596,"7.400830.0968677,2356"
597,
598,
599,"7.400830.888194,12207"
600,
604,"7.40083-0.214572,2920"
605,"7.40083-0.00539865,4373"
607,"1.316070.246165,13842"
608,"7.40083-0.063039,24328"
609,"7.400830.0317089,3407"
610,"7.40083-0.841898,5779"
611,"7.400830.116069,10516"
612,"7.40083-0.0404495,8333"
613,"1.316070.26463,10357"
614,"1.565080.766946,13778"
615,"7.400830.0293496,9229"
616,"7.400830.0071785,10479"
617,"7.400830.0810061,1095"
618,"7.40083-0.692254,23457"
619,"7.40083-0.406512,1585"
620,"7.400830.1602,8171"
621,"7.40083-0.0068691,837"
622,"7.40083-0.719696,3642"
623,"1.316070.581417,23466"
624,"7.400830.0241266,10715"
625,"7.40083-0.0150727,12813"
626,"7.40083-0.290469,4793"
627,"7.400830.39728,984"
628,"7.400830.481376,4027"
629,"7.40083-0.866708,1996"
630,"7.40083-0.855715,2012"
631,"7.40083-0.0140473,11316"
632,"7.40083-0.570853,13782"
635,
637,"7.40083-0.0700663,7920"
638,"7.40083-0.0753537,15136"
639,"7.400830.0209154,12153"
641,"7.400830.221672,19870"
642,
643,"7.40083-0.90482,9460"
644,"7.400830.0127125,177"
645,
646,"7.40083-0.0372781,14605"
647,
648,"7.400830.00406375,15512"
649,"7.40083-0.0584032,6600"
650,"7.400830.0178011,13838"
651,"7.40083-0.529252,12993"
652,"7.40083-0.529252,12993"
653,"7.40083-0.00570805,5269"
654,"7.40083-0.630889,13212"
655,"7.400830.0346483,13827"
656,"7.400830.110839,8960"
657,"7.400830.0219406,13650"
658,"1.316070.773683,10834"
659,"7.400830.0262743,13720"
660,"7.400830.0778423,21843"
661,"7.400830.237942,13724"
662,"7.40083-0.08278,13757"
663,"7.400830.026177,13709"
664,"7.400830.026177,13709"
665,"7.400830.0495343,11069"
666,"7.400830.0304129,13768"
668,
669,"7.40083-0.00321209,1438"
670,"7.40083-0.0746014,1781"
672,
673,"1.31607-0.890802,6938"
674,"7.400830.133118,22606"
675,"1.565080.0844774,14391"
676,"7.40083-0.0531865,13344"
677,"7.40083-0.940575,14091"
679,"7.400830.000754381,13355"
685,"7.400830.109782,14037"
687,
688,"1.31607-0.0604506,3606"
690,"7.40083-0.120546,1283"
691,"1.316070.0178011,13838"
692,"1.316070.0178011,13838"
694,"1.316070.0178011,13838"
695,"1.316070.0178011,13838"
696,"1.316070.0178011,13838"
697,"1.316070.392854,1173"
698,"1.316070.0178011,13838"
699,"7.400830.566046,13122"
700,"7.400830.237078,6298"
701,"7.40083-0.0859807,12319"
702,"7.40083-0.131026,23329"
703,"7.40083-0.481732,13760"
704,
705,"7.400830.0317089,3407"
709,"7.40083-0.72346,13485"
710,
712,"7.40083-0.0322892,1191"
713,"7.400830.0175683,19520"
714,"7.40083-0.185946,380"
715,"7.40083-0.0672675,24269"
716,"7.40083-0.482631,12263"
717,"7.40083-0.482631,12263"
723,"1.732050.937427,15436"
725,"7.40083-0.409692,14881"
726,"7.40083-0.409692,14881"
727,"7.400830.475463,2739"
728,"7.400830.188361,14413"
729,"7.40083-0.0148988,2758"
730,"7.40083-0.0964249,6069"
734,"7.400830.0156149,10903"
735,"7.40083-0.430778,11592"
738,"7.40083-0.437489,12971"
739,"7.400830.196582,13134"
740,"7.40083-0.0108354,12754"
741,"7.40083-0.272235,8023"
742,"7.40083-0.223011,12769"
743,"7.40083-0.937676,7291"
744,"7.40083-0.0254611,21854"
745,"7.400830.0401786,3525"
746,"7.400830.805495,13039"
747,"7.400830.192425,13075"
748,"7.400830.414927,11888"
749,"7.400830.307456,18631"
750,"7.400830.102374,12658"
751,"7.400830.00294096,10420"
752,"7.400830.141378,16559"
754,"7.40083-0.795042,12410"
755,"1.316070.242019,7717"
756,"7.400830.888194,12207"
757,"7.40083-0.223011,12769"
758,"7.400830.0421897,14981"
759,"7.40083-0.223011,12769"
760,"7.40083-0.223011,12769"
761,"7.40083-0.223011,12769"
762,"7.40083-0.397937,9129"
763,
764,"7.40083-0.381257,4933"
765,"7.400830.242019,7717"
766,"7.400830.127534,15125"
767,"7.400830.850007,12663"
768,"7.40083-0.308855,13421"
769,"7.40083-0.681255,12659"
770,"7.400830.850007,12663"
771,"7.40083-0.72346,13485"
772,"1.31607-0.081855,15169"
774,
775,"7.40083-0.12502,13082"
776,"7.40083-0.0544813,2983"
777,"7.40083-0.0544813,2983"
782,"1.565080.822695,8048"
785,"7.40083-0.0108354,12754"
786,"7.40083-0.0108354,12754"
787,"7.40083-0.768657,8500"
788,"7.400830.21631,11932"
789,"7.400830.79159,3821"
790,"7.40083-0.300949,2032"
791,
796,"7.40083-0.624291,13094"
797,"7.40083-0.129223,13023"
799,"7.400830.0209154,12153"
806,
807,"7.40083-0.0890073,4690"
808,
809,"7.40083-0.403734,15424"
810,"7.40083-0.615332,2556"
811,
813,
814,
816,
817,
818,
820,
821,
822,
823,
825,
826,
827,
829,
832,
833,
839,"7.400830.237078,6298"
841,"7.400830.0441416,15442"
843,"7.400830.259457,15516"
844,"7.40083-0.0667647,20947"
845,"7.40083-0.0564909,15523"
846,"7.40083-0.208463,15527"
847,"7.400830.152976,3621"
848,"7.40083-0.99621,3066"
849,
850,
851,
852,
853,
854,
855,
856,"7.40083-0.355751,13219"
857,"7.400830.884809,16757"
858,"7.400830.156895,15538"
859,"7.400830.156895,15538"
860,"7.400830.108763,15534"
861,"7.40083-0.411473,15542"
862,"7.40083-0.160735,15545"
863,"7.40083-0.160735,15545"
864,
865,"7.400830.636995,15546"
866,
867,
868,"7.400830.679397,15548"
869,"7.400830.679397,15548"
871,"7.40083-0.00673354,6766"
873,"7.40083-0.160735,15545"
874,"7.400830.0252491,15217"
875,"7.40083-0.313764,15564"
876,"7.400830.786215,15561"
877,"7.400830.0526068,15560"
878,"7.400830.079135,11482"
881,"7.400830.0687728,2441"
882,"7.40083-0.000173844,15571"
883,"7.40083-0.00441143,15630"
884,"7.400830.203976,15674"
885,"7.40083-0.183493,6327"
891,"1.31607-0.0213602,15866"
892,"7.40083-0.0310904,15877"
893,
894,"7.400830.0028054,16349"
895,"7.40083-0.0436588,9771"
896,"7.40083-0.540142,2755"
897,"7.400830.0559113,13307"
901,
902,"7.400830.171859,922"
903,"7.40083-0.165794,8060"
905,"7.400830.266775,8208"
906,"7.400830.45775,7466"
909,"7.40083-0.0594652,16397"
916,"7.400830.0112804,16467"
917,"7.40083-0.310842,11073"
919,"7.40083-0.280417,13595"
920,"7.40083-0.0480273,15641"
921,"7.40083-0.157296,2249"
922,"7.40083-0.157296,2249"
923,"7.40083-0.280417,13595"
924,"7.40083-0.280417,13595"
925,"7.400830.0369307,16537"
934,"7.400830.026177,13709"
935,"7.400830.573012,13004"
936,"7.40083-0.0308577,17481"
937,"7.40083-0.481732,13760"
938,"7.40083-0.481732,13760"
939,"7.40083-0.0892773,16548"
940,"7.40083-0.0766084,16725"
943,"7.400830.131602,21113"
944,"7.40083-0.552508,5926"
952,"7.40083-0.0892773,16548"
953,
954,"7.40083-0.781288,8273"
960,"7.400830.635308,18481"
962,"7.40083-0.0068691,837"
963,"7.40083-0.80085,16724"
964,"7.400830.110936,18469"
965,"7.400830.079135,11482"
968,"7.400830.171859,922"
969,"7.400830.370175,8245"
970,"7.400830.370175,8245"
971,"1.316070.145342,16858"
972,"7.400830.287134,8503"
974,"7.400830.0199873,16773"
975,"7.400830.0687728,2441"
977,"7.400830.0790968,10018"
978,"7.40083-0.737807,1791"
979,"7.400830.496936,11689"
981,"7.400830.0346483,13827"
984,"7.400830.0536309,17057"
985,"7.400830.234088,1807"
986,"7.400830.21614,3639"
987,"7.40083-0.6789,14097"
991,"7.40083-0.0932272,4631"
997,
1006,"7.40083-0.729868,471"
1007,"7.400830.0409324,16880"
1009,
1010,"7.400830.374073,13196"
1011,"7.400830.412901,6677"
1012,"7.40083-0.854793,16864"
1013,"7.400830.333227,3425"
1014,"1.31607-0.904441,16886"
1015,"7.400830.116165,16913"
1016,
1017,"7.40083-0.164649,3628"
1018,"7.400830.160066,14100"
1019,"7.40083-0.0974836,16928"
1020,"7.40083-0.0596976,16961"
1022,"7.40083-0.328937,13126"
1023,"7.400830.0769551,14417"
1024,"7.40083-0.958775,6738"
1025,"7.400830.179059,5472"
1026,"7.400830.780865,21372"
1027,"1.316070.215403,16994"
1028,
1029,
1031,
1032,"7.40083-0.978699,6215"
1033,"7.40083-0.120546,1283"
1035,"7.40083-0.182789,1818"
1036,"7.40083-0.088294,3455"
1037,"7.400830.428402,12370"
1038,"7.400830.165527,3798"
1039,"1.31607-0.959606,17158"
1040,"7.400830.0611654,11751"
1041,
1042,
1043,"7.40083-0.673483,11953"
1044,"7.400830.983682,2148"
1045,"7.400830.0676144,6873"
1046,
1047,"1.316070.860386,17390"
1049,"7.40083-0.0308577,17481"
1050,"7.400830.870971,3815"
1051,
1054,"7.40083-0.370427,3613"
1055,"7.40083-0.0173562,17551"
1056,"7.400830.666689,17574"
1057,"7.400830.0655298,17621"
1058,"7.40083-0.00464428,17728"
1059,
1060,"7.40083-0.115589,14697"
1061,"7.40083-0.156321,17754"
1062,"7.400830.180068,6969"
1063,"7.40083-0.232394,8455"
1064,"7.400830.0179749,1733"
1066,"7.400830.212038,17802"
1067,"7.40083-0.0924761,17986"
1072,"7.40083-0.00236043,12636"
1073,"7.40083-0.0753537,15136"
1074,"7.40083-0.159723,17042"
1075,"7.400830.62049,6249"
1076,"7.400830.252481,16463"
1077,"7.400830.252481,16463"
1079,"7.400830.171554,8720"
1080,"7.400830.171554,8720"
1081,"7.400830.122312,13569"
1082,"1.316070.122312,13569"
1083,"7.400830.122312,13569"
1084,"1.565080.122312,13569"
1085,"1.967990.122312,13569"
1086,"1.565080.122312,13569"
1087,"2.213360.122312,13569"
1088,"7.400830.122312,13569"
1089,"1.732050.122312,13569"
1090,"7.400830.122312,13569"
1091,"7.400830.122312,13569"
1092,"1.565080.122312,13569"
1093,"1.316070.122312,13569"
1094,"7.400830.122312,13569"
1095,"7.400830.122312,13569"
1096,"7.400830.122312,13569"
1099,"1.565080.122312,13569"
1101,"7.400830.122312,13569"
1102,"7.400830.122312,13569"
1103,"7.400830.122312,13569"
1104,"7.400830.122312,13569"
1105,"7.400830.122312,13569"
1106,"7.400830.122312,13569"
1107,"1.565080.122312,13569"
1108,"7.400830.122312,13569"
1109,"7.400830.122312,13569"
1110,"1.316070.122312,13569"
1111,"7.40083-0.615332,2556"
1112,"7.400830.0983312,2854"
1114,"7.40083-0.0308194,4019"
1115,"7.40083-0.482664,9237"
1116,"7.400830.000889945,7426"
1117,"7.40083-0.0648534,12024"
1118,"7.40083-0.0308194,4019"
1119,"7.400830.309186,17721"
1120,
1121,"7.40083-0.296646,13831"
1122,"7.40083-0.196108,12079"
1123,"7.40083-0.575198,9274"
1124,"7.40083-0.0985042,18425"
1125,"7.40083-0.0648534,12024"
1126,"7.400830.613852,15133"
1127,"7.400830.613852,15133"
1128,"7.400830.49221,5438"
1129,"7.40083-0.744962,4608"
1130,"7.40083-0.202403,14955"
1131,"7.40083-0.202403,14955"
1132,"7.40083-0.944435,9482"
1133,"7.400830.474713,11335"
1134,"7.400830.635308,18481"
1135,"7.400830.241192,6357"
1136,"7.400830.0102166,6530"
1137,"7.40083-0.214836,14778"
1138,"7.40083-0.571584,6356"
1139,"7.400830.204847,8248"
1140,"7.40083-0.0150344,8687"
1141,"7.400830.293245,15873"
1142,"7.400830.0280918,22632"
1143,"7.400830.119355,18351"
1144,"7.40083-0.561331,18391"
1145,"7.40083-0.221842,4299"
1146,"7.40083-0.221842,4299"
1147,"7.400830.269572,2872"
1148,"7.40083-0.221842,4299"
1149,"7.40083-0.672524,1592"
1150,"7.40083-0.221842,4299"
1151,"7.40083-0.672524,1592"
1152,"7.40083-0.221842,4299"
1153,"7.40083-0.672524,1592"
1154,"7.40083-0.221842,4299"
1155,"7.40083-0.221842,4299"
1156,"7.40083-0.99026,2874"
1157,"7.40083-0.221842,4299"
1160,"7.400830.401325,14646"
1161,"7.400830.115147,18410"
1162,"7.40083-0.306904,16415"
1163,"7.400830.0504231,18495"
1164,"7.40083-0.0586739,18458"
1165,"7.400830.0293496,9229"
1166,"7.400830.110936,18469"
1167,"7.40083-0.409479,18477"
1168,"7.400830.254633,2102"
1169,"7.400830.632135,12493"
1170,"7.400830.0102166,6530"
1171,"7.40083-0.190849,13794"
1172,"7.40083-0.525569,14377"
1173,"7.40083-0.190849,13794"
1174,"7.400830.0102166,6530"
1175,
1176,"7.400830.246165,13842"
1179,
1180,"7.400830.0843423,8462"
1181,"7.400830.950106,4109"
1182,"1.316070.397654,18771"
1183,"7.400830.0757974,18849"
1184,"7.400830.389863,18889"
1185,"7.40083-0.500223,8035"
1186,
1187,"1.316070.192292,19004"
1188,"7.400830.0536309,17057"
1189,"7.400830.0325601,10667"
1190,"7.400830.0645064,19118"
1191,
1192,"7.40083-0.120949,19070"
1193,"7.40083-0.10095,3632"
1194,"7.400830.333227,3425"
1195,"7.400830.0560467,19236"
1196,"7.40083-0.153148,19192"
1197,"7.400830.101123,19203"
1198,"7.40083-0.0238173,1073"
1199,"7.400830.0560467,19236"
1200,"7.40083-0.598463,19239"
1201,
1202,"7.40083-0.247553,2448"
1203,"7.40083-0.296646,13831"
1204,"7.400830.160296,19258"
1205,"1.316070.0549256,6696"
1206,"7.400830.0433497,19413"
1207,"1.316070.511689,5996"
1208,
