ID,Description
11,"àéù àçã äåìê ìøåôà ùéðééí.@ëùäøåôà ôåúç ìå àú äôä äåà øåàä ùëåì ùéðéå îæäá èäåø.@ùåàì àåúå äøåôà: ""àéê àôùø ìòæåø ìê?"".@åäàéù àåîø: ""úú÷éï ìé àæò÷ä""...~"
12,"áòì àåîø ìàùúå: ""úæîéðé ìé åèøéðø, àðé çåìä"".@àùúå ùåàìú: ""ìîä åèøéðø åìà øåôà?"".@äáòì òåðä ìä: ""àðé çé ëîå ëìá, òåáã ëîå çîåø åðùåé ìáäîä!""...~"
13,ùàìä: ìîä éù çìåï áîèáç?@úùåáä: ëãé ùìàéùä úäéä äù÷ôú òåìí...~
14,ùàìä: àéê îùâòéí ôøñé?@úùåáä: îëðéñéí àåúå ìçãø òâåì åàåîøéí ìå ùéù ù÷ì áôéðä...~
15,"ùìã îâéò ìøåôà: ""ùìåí ãå÷èåø"".@äøåôà: ""òëùéå áàéí?!""...~"
16,"äîåøä: ""äééúé øåöä ùëì äîèåîèîéí éòîãå"".@ìàçø ãåîéä áëéúä, äúøåîí àçã äúìîéãéí.@äîåøä: ""àæ àúä îåãä ùàúä îèåîèí?"".@äúìîéã: ""ìà áãéå÷. ôùåè ìà äéä ðòéí ìé ùàúä, àãåðé äîåøä, òåîã ìáã""...~"
17,"äîìàê âáøéàì ðéâù ìàìåäéí åøåàä àåúå îöåáøç.@""îãåò ùìà úöà ìàéæä çåôùä, àìåäéí?"" ùåàì äîìàê.@""ìäéëï?"", ùåàì àìåäéí.@""ìàøõ ä÷åãù"", îöéò âáøéàì.@""úùëç îæä... äéä ìé ùí ñèåõ ìôðé àìôééí ùðä åòã äéåí ìà ùåëçéí ìé àú æä""...~"
18,ùàìä: îä ääáãì áéï èøåøéñè ìàîà ôåìðéä?@úùåáä: òí èøåøéñè àôùø ìðäì îùà åîúï...~
19,÷ééîéí ùðé çå÷éí ìäöìçä áçééí:@1. àó ôòí àì úçùåó àú ëì îä ùàúä éåãò.@...~
20,"âáø ðëðñ ìçãø äùéðä òí ëãåø àñôéøéï åëåñ îéí.@äàéùä: ""ìîä äëãåø åäîéí?"".@äáòì: ""æä áùáéì ëàá äøàù ùìê"".@äàéùä: ""àáì àéï ìé ëàá øàù"".@äáòì: ""àä! úôñúé àåúê""...~"
21,"òøñ åàéùúå òåöøéí îåðéú: ""ëîä àúä ìå÷ç ìé òã ãéæðâåó?"".@äðäâ: ""òùøéí ù÷ì"".@äòøñ: ""ëîä æä àéúé åòí àéùúé áéçã?"".@äðäâ: ""âí òùøéí ù÷ì"".@äòøñ ìàéùúå: ""àîøúé ìê ùàú ìà ùååä ëìåí""...~"
22,"ùìè áâï äçéåú:@""äîá÷øéí îúá÷ùéí ìùîåø òì äù÷è åìà ìäáäéì àú áú äéòðä. äøöôä îáèåï!""...~"
23,"ùàìä: àéê îð÷éí áéú ùì òøáé?@úùåáä: òí îâ""á...~"
24,"ãéàìåâ áàåèåáåñ:@ä÷ùéùä ìöòéøä: ""áæîðé, ðòøåú öòéøåú ÷îå ìæ÷ðéí áàåèåáåñ"".@äöòéøä ì÷ùéùä: ""áæîðê, ðòøåú áðåú 17 òåã ìà äéå áäøéåï""...~"
25,"ùàìå òùø ðùéí îàøä""á äàí äí îåëðåú ì÷ééí éçñé îéï òí áéì ÷ìéðèåï.@øåáï òðå: ""îä, ùåá?!""...~"
26,"àéù àçã ùåàì òåøê ãéï: ""ëîä àúä ìå÷ç ìùòä?"".@òåøê äãéï: ""àìôééí ãåìø ìùìåù ùàìåú"".@äàéù: ""ëì ëê é÷ø?"".@òåøê äãéï: ""ëï. îä äùàìä äùìéùéú?""...~"
27,"àéù àçã ðòöø áàùîú ùøìèðåú òì ëê ùîëø ìàðùéí îù÷ä ðòåøéí.@ùåàì àåúå äçå÷ø: ""äàí ðòöøú áòáø?"".@""ëï"", òåðä äàéù.@""îúé?"", ùåàì äçå÷ø.@""á-1601, á-1825 åá-1904""...~"
28,"àîøé÷àé, ñåîàìé åéùøàìé éåùáéí áîñòãä.@äîìöø ùìäí ðéâù åîåãéò: ""ñìéçä, àáì áâìì äôøä äîùåâòú éù îçñåø çîåø áñèéé÷éí"".@äàîøé÷àé ùåàì: ""îä æä îçñåø?"".@äñåîàìé ùåàì: ""îä æä ñèéé÷éí?"".@äéùøàìé ùåàì: ""îä æä ñìéçä?""...~"
