EventID,FixedRandomValue,EventPhotoRank
26,"7.400830.112581,3979",1000
26,"7.400830.172638,870",1000
26,"7.400830.188647,1187",1000
26,"7.40083-0.347671,4086",1000
26,"7.400830.364055,14398",1000
26,"7.40083-0.377808,983",1000
26,"7.400830.528409,999",1000
26,"7.400830.565755,1096",1000
26,"7.40083-0.618812,1028",1000
26,"7.40083-0.653237,1125",1000
26,"7.400830.735661,14396",1000
26,"7.40083-0.747422,4088",1000
26,"7.400830.749101,4355",1000
26,"7.400830.762738,4350",1000
26,"7.400830.781773,14946",1000
26,"7.400830.794676,5728",1000
26,"7.400830.818519,23402",1000
26,"7.400830.839648,688",1000
26,"7.40083-0.876164,7672",1000
26,"7.40083-0.90433,14089",1000
26,"7.40083-0.90507,23581",1000
26,"7.400830.955962,14947",1000
26,"7.400830.956375,306",1000
26,"7.400830.95926,17062",1000
26,"7.40083-0.99371,1124",1000
27,"7.40083-0.00708621,55",1000
27,"7.40083-0.00756831,19448",1000
27,"7.40083-0.0467099,524",1000
27,"7.40083-0.0658334,68",1000
27,"7.40083-0.0678558,16763",1000
27,"7.40083-0.0965276,7673",1000
27,"7.400830.0990451,770",1000
27,"7.400830.112581,3979",1000
27,"7.40083-0.11962,4034",1000
27,"7.400830.128529,773",1000
27,"7.400830.158871,3455",1000
27,"7.40083-0.161501,71",1000
27,"7.40083-0.218742,19445",1000
27,"7.40083-0.219212,58",1000
27,"7.400830.287003,844",1000
27,"7.40083-0.336658,3985",1000
27,"7.40083-0.347671,4086",1000
27,"7.40083-0.349444,776",1000
27,"7.400830.354108,294",1000
27,"7.400830.364055,14398",1000
27,"7.400830.367003,7350",1000
27,"7.40083-0.377808,983",1000
27,"7.400830.434155,61",1000
27,"7.400830.451329,531",1000
27,"7.400830.502317,792",1000
27,"7.400830.51006,5599",1000
27,"7.40083-0.572217,295",1000
27,"7.40083-0.618812,1028",1000
27,"7.40083-0.628847,845",1000
27,"7.400830.667777,3902",1000
27,"7.40083-0.672878,478",1000
27,"7.400830.681756,59",1000
27,"7.400830.698812,4232",1000
27,"7.400830.721965,3936",1000
27,"7.400830.723566,72",1000
27,"7.400830.742838,292",1000
27,"7.40083-0.746164,774",1000
27,"7.40083-0.747422,4088",1000
27,"7.400830.762738,4350",1000
27,"7.40083-0.765591,769",1000
27,"7.400830.786601,67",1000
27,"7.400830.794676,5728",1000
27,"7.400830.818519,23402",1000
27,"7.400830.821525,54",1000
27,"7.400830.829329,7590",1000
27,"7.40083-0.834738,4119",1000
27,"7.40083-0.849896,96",1000
27,"7.400830.854814,3967",1000
27,"7.40083-0.860906,69",1000
27,"7.40083-0.868729,14820",1000
27,"7.40083-0.876164,7672",1000
27,"7.40083-0.892375,7671",1000
27,"7.400830.898495,1089",1000
27,"7.40083-0.905848,70",1000
27,"7.40083-0.913796,522",1000
27,"7.400830.927322,539",1000
27,"7.400830.95278,843",1000
27,"7.40083-0.963147,768",1000
27,"7.40083-0.970704,775",1000
27,"7.400830.971889,293",1000
27,"7.400830.97622,299",1000
27,"7.40083-0.982862,3434",1000
27,"7.400830.984417,707",1000
27,"7.400830.988692,60",1000
27,"7.40083-0.99371,1124",1000
27,"7.40083-0.999731,3505",1000
27,"7.400830.999999,1095",1000
28,"7.40083-0.00708621,55",1000
28,"7.40083-0.0421578,7864",1000
28,"7.40083-0.0714963,14518",1000
28,"7.400830.0742312,1640",1000
28,"7.40083-0.0965276,7673",1000
28,"7.40083-0.11962,4034",1000
28,"7.40083-0.175129,7573",1000
28,"7.400830.206742,14473",1000
28,"7.40083-0.219212,58",1000
28,"7.400830.241533,9190",1000
28,"7.400830.287003,844",1000
28,"7.400830.287207,3591",1000
28,"7.40083-0.315375,14017",1000
28,"7.40083-0.347671,4086",1000
28,"7.400830.365889,2856",1000
28,"7.400830.367003,7350",1000
28,"7.40083-0.409788,14013",1000
28,"7.400830.434155,61",1000
28,"7.400830.489642,9772",1000
28,"7.400830.502317,792",1000
28,"7.40083-0.508133,6797",1000
28,"7.400830.521788,14014",1000
28,"7.400830.533939,2155",1000
28,"7.40083-0.567314,5958",1000
28,"7.400830.587367,3986",1000
28,"7.40083-0.622174,14522",1000
28,"7.40083-0.628847,845",1000
28,"7.400830.63467,9770",1000
28,"7.40083-0.672878,478",1000
28,"7.400830.681756,59",1000
28,"7.40083-0.691037,14472",1000
28,"7.40083-0.701171,14011",1000
28,"7.40083-0.70496,6959",1000
28,"7.400830.705508,8295",1000
28,"7.400830.721965,3936",1000
28,"7.40083-0.730882,14032",1000
28,"7.400830.733512,7352",1000
28,"7.40083-0.747422,4088",1000
28,"7.400830.767216,7674",1000
28,"7.400830.76928,1049",1000
28,"7.40083-0.781376,1641",1000
28,"7.400830.783084,14519",1000
28,"7.400830.78898,6613",1000
28,"7.400830.821525,54",1000
28,"7.40083-0.834738,4119",1000
28,"7.40083-0.876164,7672",1000
28,"7.40083-0.879392,83",1000
28,"7.40083-0.892375,7671",1000
28,"7.40083-0.893036,6061",1000
28,"7.400830.901282,14034",1000
28,"7.400830.905611,3029",1000
28,"7.400830.910807,3968",1000
28,"7.40083-0.911618,7574",1000
28,"7.40083-0.913796,522",1000
28,"7.400830.924381,14474",1000
28,"7.400830.941757,4653",1000
28,"7.400830.95278,843",1000
28,"7.400830.955343,14520",1000
28,"7.400830.956539,3405",1000
28,"7.40083-0.961393,14018",1000
28,"7.400830.973277,5960",1000
28,"7.400830.975051,7351",1000
28,"7.40083-0.975901,14031",1000
28,"7.40083-0.98335,6960",1000
28,"7.400830.988692,60",1000
28,"7.40083-0.991871,9192",1000
28,"7.400830.994954,9195",1000
28,"7.400830.998716,14015",1000
28,"7.400830.999338,2156",1000
28,"7.40083-0.999993,5957",1000
28,"7.400830.999999,1095",1000
29,"7.40083-0.766001,12536",1000
30,,
31,"7.40083-0.0206975,3264",1000
31,"7.400830.0281288,4215",1000
31,"7.40083-0.101351,4778",1000
31,"7.40083-0.12623,4781",1000
31,"7.40083-0.159634,4791",1000
31,"7.400830.202546,1077",1000
31,"7.40083-0.217365,4804",1000
31,"7.40083-0.26678,3426",1000
31,"7.400830.26745,11642",1000
31,"7.40083-0.290958,18102",1000
31,"7.400830.343395,12474",1000
31,"7.400830.37872,4788",1000
31,"7.400830.384876,4027",1000
31,"7.40083-0.500263,23573",1000
31,"7.40083-0.534837,24330",1000
31,"7.40083-0.625132,4798",1000
31,"7.400830.657481,12662",1000
31,"7.400830.683139,4803",1000
31,"7.400830.690786,6938",1000
31,"7.400830.724871,4790",1000
31,"7.400830.747705,4782",1000
31,"7.400830.785432,4795",1000
31,"7.40083-0.829523,56",1000
31,"7.40083-0.861867,4793",1000
31,"7.40083-0.871905,1570",1000
31,"7.40083-0.929174,57",1000
31,"7.40083-0.933664,23458",1000
31,"7.400830.954073,14707",1000
31,"7.400830.954217,4796",1000
31,"7.40083-0.970248,4087",1000
31,"7.400830.977776,4789",1000
31,"7.400830.988406,4802",1000
31,"7.40083-0.9904,3958",1000
31,"7.400830.993383,215",1000
31,"7.40083-0.999858,4786",1000
32,"1.73205-0.829523,56",3
32,"7.40083-0.417014,3782",1000
32,"7.40083-0.673035,3957",1000
32,"7.40083-0.929174,57",1000
32,"7.400830.994631,12553",1000
33,"7.40083-0.496294,12816",1000
34,"7.40083-0.06304,15563",1000
34,"7.40083-0.082412,7783",1000
34,"7.400830.159424,356",1000
34,"7.400830.214896,3639",1000
34,"7.40083-0.218195,22544",1000
34,"7.400830.223731,7958",1000
34,"7.400830.266855,19830",1000
34,"7.40083-0.280283,15505",1000
34,"7.400830.289758,65",1000
34,"7.40083-0.378523,353",1000
34,"7.400830.431823,19869",1000
34,"7.40083-0.498673,62",1000
34,"7.40083-0.512533,4690",1000
34,"7.40083-0.534592,3491",1000
34,"7.400830.550503,352",1000
34,"7.40083-0.626608,64",1000
34,"7.40083-0.629882,918",1000
34,"7.40083-0.699268,17537",1000
34,"7.400830.702957,22323",1000
34,"7.40083-0.725017,355",1000
34,"7.400830.736706,17068",1000
34,"7.40083-0.755018,452",1000
34,"7.40083-0.784822,976",1000
34,"7.40083-0.859478,15564",1000
34,"7.400830.904955,357",1000
34,"7.40083-0.907031,15565",1000
34,"7.40083-0.921242,7756",1000
34,"7.400830.952804,15561",1000
34,"7.400830.95365,66",1000
34,"7.40083-0.964383,8784",1000
34,"7.40083-0.977732,354",1000
34,"7.40083-0.99568,18120",1000
34,"7.40083-0.996994,63",1000
34,"7.400830.999861,351",1000
35,"7.40083-0.0658334,68",1000
35,"7.400830.0985448,24504",1000
35,"7.400830.141251,1100",1000
35,"7.400830.158871,3455",1000
35,"7.40083-0.161501,71",1000
35,"7.400830.311102,5968",1000
35,"7.40083-0.321891,9637",1000
35,"7.400830.390644,23065",1000
35,"7.400830.455459,8547",1000
35,"7.40083-0.568999,21988",1000
35,"7.400830.600292,766",1000
35,"7.400830.645455,21849",1000
35,"7.400830.723566,72",1000
35,"7.400830.735661,14396",1000
35,"7.400830.786601,67",1000
35,"7.400830.78772,21333",1000
35,"7.400830.797562,9681",1000
35,"7.40083-0.827165,910",1000
35,"7.40083-0.860906,69",1000
35,"7.40083-0.890916,14296",1000
35,"7.40083-0.905848,70",1000
35,"7.40083-0.935907,24739",1000
35,"7.40083-0.968958,17234",1000
35,"7.400830.969239,21345",1000
35,"7.40083-0.970825,24499",1000
35,"7.400830.97865,3935",1000
35,"7.400830.984417,707",1000
35,"7.400830.988479,14701",1000
35,"7.400830.998999,24509",1000
36,"7.40083-0.214085,23398",1000
36,"7.40083-0.316969,4720",1000
36,"7.400830.345497,78",1000
36,"7.400830.38047,74",1000
36,"7.40083-0.548745,75",1000
36,"7.40083-0.57973,77",1000
36,"7.400830.87738,771",1000
36,"7.400830.891231,772",1000
36,"7.400830.978171,73",1000
36,"7.40083-0.999824,76",1000
37,"7.40083-0.944966,15222",1000
38,"7.40083-0.539917,2210",1000
38,"7.40083-0.976387,1635",1000
39,"7.40083-0.459014,3258",1000
40,,
41,,
42,"7.40083-0.784905,12945",1000
43,"7.40083-0.496294,12816",1000
44,"7.40083-0.000637601,13305",1000
44,"7.40083-0.241326,13625",1000
44,"7.400830.314642,12681",1000
44,"7.40083-0.324942,3012",1000
44,"7.400830.360204,2860",1000
44,"7.40083-0.69826,2896",1000
44,"7.400830.7768,2849",1000
44,"7.400830.852804,2713",1000
44,"7.40083-0.899079,2852",1000
44,"7.400830.959396,2441",1000
44,"7.40083-0.97791,18094",1000
44,"7.400830.994855,3424",1000
44,"7.40083-0.999224,13216",1000
45,"7.40083-0.496294,12816",1000
45,"7.400830.521721,2390",1000
45,"7.40083-0.618979,3407",1000
45,"7.40083-0.741946,2055",1000
45,"7.40083-0.944966,15222",1000
46,"7.400830.285727,919",1000
46,"7.40083-0.292436,15430",1000
46,"7.40083-0.516093,22829",1000
46,"7.400830.611964,24618",1000
46,"7.40083-0.641033,24746",1000
46,"7.400830.74896,80",1000
46,"7.40083-0.998356,22830",1000
47,"7.40083-0.124353,81",1000
47,"7.400830.599952,9636",1000
47,"7.400830.905136,9227",1000
47,"7.400830.997388,21384",1000
48,"1.56508-0.0616327,922",2
48,"7.40083-0.0123372,23401",1000
48,"7.40083-0.0651403,15136",1000
48,"7.400830.0687039,977",1000
48,"7.40083-0.103233,84",1000
48,"7.40083-0.133123,7243",1000
48,"7.400830.135897,8252",1000
48,"7.400830.146945,2918",1000
48,"7.400830.238121,23404",1000
48,"7.400830.271374,527",1000
48,"7.400830.281208,23501",1000
48,"7.40083-0.298008,2792",1000
48,"7.40083-0.358438,7722",1000
48,"7.400830.38345,6699",1000
48,"7.400830.385981,6179",1000
48,"7.40083-0.411145,17032",1000
48,"7.40083-0.429399,21382",1000
48,"7.400830.442174,23505",1000
48,"7.40083-0.451569,23407",1000
48,"7.40083-0.49092,23504",1000
48,"7.40083-0.496362,3588",1000
48,"7.400830.520518,17031",1000
48,"7.40083-0.52954,2762",1000
48,"7.40083-0.546337,834",1000
48,"7.40083-0.556405,297",1000
48,"7.400830.564241,24607",1000
48,"7.400830.56841,7721",1000
48,"7.400830.601974,1193",1000
48,"7.400830.626547,16468",1000
48,"7.40083-0.633535,23502",1000
48,"7.40083-0.667418,23405",1000
48,"7.400830.675202,23507",1000
48,"7.400830.783119,13854",1000
48,"7.400830.78703,15135",1000
48,"7.400830.798283,525",1000
48,"7.40083-0.860552,15137",1000
48,"7.40083-0.888056,12796",1000
48,"7.400830.936179,23403",1000
48,"7.400830.947619,21365",1000
48,"7.400830.947711,526",1000
48,"7.400830.950927,23500",1000
48,"7.40083-0.956212,2793",1000
48,"7.400830.95778,12145",1000
48,"7.40083-0.966014,8901",1000
48,"7.400830.9953,23409",1000
48,"7.40083-0.996263,23503",1000
48,"7.40083-0.999954,296",1000
48,"7.400830.999997,12210",1000
49,,1000
49,"7.400830.0135345,13195",1000
49,"7.40083-0.215857,2132",1000
49,"7.400830.308697,14411",1000
49,"7.400830.358239,3287",1000
49,"7.400830.400043,91",1000
49,"7.40083-0.53085,90",1000
49,"7.40083-0.581554,12473",1000
49,"7.40083-0.673449,858",1000
49,"7.400830.753459,23913",1000
49,"7.400830.762876,85",1000
49,"7.40083-0.882444,13333",1000
49,"7.400830.904626,979",1000
49,"7.40083-0.932281,14639",1000
49,"7.400830.964271,86",1000
49,"7.40083-0.969717,11890",1000
49,"7.400830.973405,2861",1000
49,"7.40083-0.97735,21620",1000
49,"7.40083-0.978994,5362",1000
49,"7.40083-0.999199,89",1000
50,,1000
50,,1000
50,,1000
50,,1000
50,,1000
50,"7.40083-0.00953808,7906",1000
50,"7.400830.0265846,6887",1000
50,"7.400830.0470568,8058",1000
50,"7.400830.114461,883",1000
50,"7.40083-0.147499,181",1000
50,"7.40083-0.152901,19202",1000
50,"7.40083-0.159081,7890",1000
50,"7.40083-0.180373,521",1000
50,"7.40083-0.190449,22324",1000
50,"7.40083-0.216819,7903",1000
50,"7.400830.235401,7909",1000
50,"7.400830.237522,8068",1000
50,"7.40083-0.244997,23349",1000
50,"7.40083-0.271708,8061",1000
50,"7.40083-0.317903,10491",1000
50,"7.400830.378202,7887",1000
50,"7.40083-0.407356,10487",1000
50,"7.40083-0.433459,1397",1000
50,"7.40083-0.44907,7912",1000
50,"7.40083-0.460317,10474",1000
50,"7.400830.473108,10475",1000
50,"7.40083-0.516209,10860",1000
50,"7.400830.524059,10488",1000
50,"7.40083-0.550793,7886",1000
50,"7.400830.603314,10490",1000
50,"7.400830.605837,11258",1000
50,"7.400830.611291,6878",1000
50,"7.400830.619858,2791",1000
50,"7.40083-0.620191,6079",1000
50,"7.400830.639476,7915",1000
50,"7.40083-0.660067,10472",1000
50,"7.40083-0.667877,8067",1000
50,"7.40083-0.6695,7910",1000
50,"7.40083-0.679237,2249",1000
50,"7.400830.683547,7902",1000
50,"7.40083-0.687232,8984",1000
50,"7.40083-0.703068,10485",1000
50,"7.400830.704357,10781",1000
50,"7.400830.710213,520",1000
50,"7.40083-0.717434,7090",1000
50,"7.40083-0.72791,1209",1000
50,"7.400830.72955,19203",1000
50,"7.400830.733276,182",1000
50,"7.40083-0.786124,1403",1000
50,"7.40083-0.798074,8059",1000
50,"7.40083-0.804325,10480",1000
50,"7.400830.820124,7907",1000
50,"7.40083-0.83089,7905",1000
50,"7.400830.845657,10482",1000
50,"7.400830.851186,8057",1000
50,"7.40083-0.862151,7892",1000
50,"7.40083-0.871081,10867",1000
50,"7.40083-0.881626,24337",1000
50,"7.40083-0.899754,180",1000
50,"7.40083-0.902125,19201",1000
50,"7.40083-0.904807,7891",1000
50,"7.40083-0.911213,1803",1000
50,"7.400830.935962,8069",1000
50,"7.40083-0.944441,10479",1000
50,"7.40083-0.947822,8060",1000
50,"7.400830.975128,183",1000
50,"7.400830.977659,7888",1000
50,"7.400830.982368,92",1000
50,"7.40083-0.983831,10486",1000
50,"7.400830.987986,8076",1000
50,"7.40083-0.991048,7911",1000
50,"7.40083-0.992655,10473",1000
50,"7.40083-0.992907,10900",1000
50,"7.400830.994301,10476",1000
50,"7.400830.995568,7914",1000
50,"7.400830.999905,558",1000
50,"7.40083-0.999989,186",1000
51,,1000
51,"7.400830.0401896,3678",1000
51,"7.40083-0.141883,14405",1000
51,"7.400830.153531,5897",1000
51,"7.400830.160816,14997",1000
51,"7.40083-0.182443,94",1000
51,"7.40083-0.346149,14990",1000
51,"7.40083-0.407427,5917",1000
51,"7.40083-0.507534,21865",1000
51,"7.400830.527639,9634",1000
51,"7.40083-0.641642,21367",1000
51,"7.400830.665056,1657",1000
51,"7.400830.740014,1146",1000
51,"7.40083-0.763375,1421",1000
51,"7.40083-0.802197,3679",1000
51,"7.40083-0.857855,6184",1000
51,"7.400830.861259,14999",1000
51,"7.40083-0.897263,14406",1000
51,"7.40083-0.90836,6183",1000
51,"7.400830.927213,21378",1000
51,"7.40083-0.945608,3680",1000
51,"7.40083-0.95932,21497",1000
51,"7.400830.972872,1147",1000
51,"7.40083-0.996851,21329",1000
51,"7.400830.999943,5902",1000
52,"7.400830.00876572,9242",1000
52,"7.400830.0554642,9766",1000
52,"7.400830.0990451,770",1000
52,"7.400830.128529,773",1000
52,"7.400830.217573,9239",1000
52,"7.40083-0.220982,21324",1000
52,"7.40083-0.349444,776",1000
52,"7.400830.451588,21370",1000
52,"7.40083-0.467279,9083",1000
52,"7.400830.51006,5599",1000
52,"7.40083-0.568999,21988",1000
52,"7.40083-0.746164,774",1000
52,"7.40083-0.765591,769",1000
52,"7.400830.83046,9241",1000
52,"7.40083-0.849896,96",1000
52,"7.400830.927322,539",1000
52,"7.40083-0.963147,768",1000
52,"7.40083-0.970704,775",1000
52,"7.400830.998435,7306",1000
52,"7.400830.999022,765",1000
53,"1.73205-0.20351,4694",3
53,,1000
53,"7.40083-0.00210463,427",1000
53,"7.40083-0.00639159,15123",1000
53,"7.400830.0235738,4173",1000
53,"7.40083-0.0322015,6900",1000
53,"7.400830.0375272,152",1000
53,"7.400830.0392832,6955",1000
53,"7.400830.0408267,9627",1000
53,"7.40083-0.0446075,97",1000
53,"7.40083-0.0509918,15026",1000
53,"7.40083-0.0608618,414",1000
53,"7.40083-0.0752134,4131",1000
53,"7.40083-0.0938752,4147",1000
53,"7.400830.0961819,139",1000
53,"7.40083-0.0966617,19642",1000
53,"7.400830.117242,16378",1000
53,"7.40083-0.119409,401",1000
53,"7.40083-0.127763,2109",1000
53,"7.400830.131381,136",1000
53,"7.400830.132835,13596",1000
53,"7.40083-0.136318,618",1000
53,"7.40083-0.152214,4134",1000
53,"7.400830.154714,4309",1000
53,"7.400830.161977,19574",1000
53,"7.40083-0.166416,411",1000
53,"7.400830.174711,1297",1000
53,"7.40083-0.188988,8721",1000
53,"7.400830.189406,149",1000
53,"7.400830.209896,7848",1000
53,"7.400830.21099,1650",1000
53,"7.400830.212293,113",1000
53,"7.40083-0.222018,851",1000
53,"7.40083-0.228039,11539",1000
53,"7.40083-0.235063,375",1000
53,"7.40083-0.241739,4755",1000
53,"7.40083-0.251395,3791",1000
53,"7.400830.262926,8715",1000
53,"7.400830.275497,15023",1000
53,"7.40083-0.276832,15113",1000
53,"7.400830.277575,13777",1000
53,"7.40083-0.278187,472",1000
53,"7.40083-0.285319,7951",1000
53,"7.400830.298745,4128",1000
53,"7.40083-0.309836,4205",1000
53,"7.40083-0.312368,7731",1000
53,"7.40083-0.314972,5147",1000
53,"7.40083-0.318763,142",1000
53,"7.40083-0.338185,15091",1000
53,"7.400830.340818,404",1000
53,"7.40083-0.342144,14237",1000
53,"7.40083-0.352139,133",1000
53,"7.400830.385073,408",1000
53,"7.40083-0.392828,1300",1000
53,"7.40083-0.404092,3672",1000
53,"7.40083-0.406527,146",1000
53,"7.40083-0.415101,4209",1000
53,"7.400830.419628,4691",1000
53,"7.400830.422045,1165",1000
53,"7.40083-0.425543,7845",1000
53,"7.40083-0.426049,4746",1000
53,"7.400830.436745,848",1000
53,"7.40083-0.439643,5777",1000
53,"7.400830.454892,4758",1000
53,"7.400830.464238,6893",1000
53,"7.400830.468901,14428",1000
53,"7.40083-0.480135,103",1000
53,"7.40083-0.485731,15020",1000
53,"7.40083-0.48762,13780",1000
53,"7.400830.488176,475",1000
53,"7.400830.493677,1756",1000
53,"7.400830.49465,7954",1000
53,"7.40083-0.496177,847",1000
53,"7.400830.506918,7844",1000
53,"7.40083-0.510243,1164",1000
53,"7.40083-0.516142,5544",1000
53,"7.400830.519083,7734",1000
53,"7.400830.519991,14441",1000
53,"7.400830.524831,145",1000
53,"7.40083-0.544573,407",1000
53,"7.400830.545755,14234",1000
53,"7.40083-0.583782,405",1000
53,"7.400830.584001,23533",1000
53,"7.400830.586053,15090",1000
53,"7.40083-0.586632,14619",1000
53,"7.400830.60259,143",1000
53,"7.400830.607955,7732",1000
53,"7.400830.613672,4182",1000
53,"7.400830.619146,7842",1000
53,"7.40083-0.619252,4127",1000
53,"7.400830.619585,4743",1000
53,"7.400830.628517,8025",1000
53,"7.400830.631351,5780",1000
53,"7.400830.637054,15114",1000
53,"7.40083-0.638124,15022",1000
53,"7.400830.641093,8342",1000
53,"7.40083-0.64812,8714",1000
53,"7.400830.652813,1974",1000
53,"7.400830.664219,7855",1000
53,"7.40083-0.665532,14962",1000
53,"7.40083-0.665992,16510",1000
53,"7.40083-0.675003,431",1000
53,"7.40083-0.677535,1759",1000
53,"7.400830.68201,7475",1000
53,"7.400830.682787,14700",1000
53,"7.400830.69342,4693",1000
53,"7.40083-0.698508,4638",1000
53,"7.40083-0.703713,148",1000
53,"7.40083-0.708185,1429",1000
53,"7.400830.720118,410",1000
53,"7.40083-0.728294,4308",1000
53,"7.400830.729879,300",1000
53,"7.400830.730025,4135",1000
53,"7.400830.742696,4143",1000
53,"7.400830.752251,402",1000
53,"7.400830.759646,397",1000
53,"7.40083-0.767438,140",1000
53,"7.400830.768786,287",1000
53,"7.400830.780761,4130",1000
53,"7.40083-0.782206,122",1000
53,"7.40083-0.78975,11554",1000
53,"7.400830.795694,15025",1000
53,"7.40083-0.796162,13689",1000
53,"7.400830.797271,9822",1000
53,"7.400830.803532,8717",1000
53,"7.40083-0.807195,1971",1000
53,"7.400830.821921,15122",1000
53,"7.40083-0.82854,7051",1000
53,"7.400830.846141,151",1000
53,"7.400830.848489,3430",1000
53,"7.400830.849489,1432",1000
53,"7.400830.850639,14545",1000
53,"7.400830.856921,15082",1000
53,"7.40083-0.858361,413",1000
53,"7.400830.860159,13801",1000
53,"7.400830.862542,6556",1000
53,"7.40083-0.865652,4132",1000
53,"7.400830.875996,138",1000
53,"7.400830.881087,14242",1000
53,"7.40083-0.881753,399",1000
53,"7.40083-0.887025,400",1000
53,"7.400830.887675,14241",1000
53,"7.400830.890784,6543",1000
53,"7.40083-0.901825,4133",1000
53,"7.40083-0.907947,412",1000
53,"7.400830.910376,18634",1000
53,"7.400830.925607,7849",1000
53,"7.40083-0.925658,4120",1000
53,"7.400830.92603,1651",1000
53,"7.40083-0.929823,7050",1000
53,"7.400830.934072,15121",1000
53,"7.40083-0.934917,9244",1000
53,"7.40083-0.94007,4171",1000
53,"7.40083-0.940903,3790",1000
53,"7.400830.944878,8716",1000
53,"7.400830.948448,3482",1000
53,"7.400830.949071,15024",1000
53,"7.400830.949925,16875",1000
53,"7.400830.952139,416",1000
53,"7.40083-0.952245,7950",1000
53,"7.400830.956437,4129",1000
53,"7.400830.959554,5540",1000
53,"7.40083-0.962369,141",1000
53,"7.40083-0.964658,13818",1000
53,"7.400830.965433,3495",1000
53,"7.40083-0.967754,15092",1000
53,"7.40083-0.968421,11566",1000
53,"7.400830.968455,403",1000
53,"7.400830.970009,1684",1000
53,"7.400830.971277,19637",1000
53,"7.40083-0.971392,134",1000
53,"7.40083-0.974612,4191",1000
53,"7.400830.976174,4136",1000
53,"7.400830.979194,409",1000
53,"7.40083-0.981785,5252",1000
53,"7.400830.981972,519",1000
53,"7.40083-0.984379,5142",1000
53,"7.400830.986467,170",1000
53,"7.40083-0.987216,7846",1000
53,"7.400830.991656,105",1000
53,"7.400830.993359,4220",1000
53,"7.40083-0.993647,4223",1000
53,"7.40083-0.995347,3906",1000
53,"7.40083-0.995731,15021",1000
53,"7.40083-0.996595,419",1000
53,"7.400830.996624,7953",1000
53,"7.400830.996801,8024",1000
