ID,Description
11,"איש אחד הולך לרופא שיניים.@כשהרופא פותח לו את הפה הוא רואה שכול שיניו מזהב טהור.@שואל אותו הרופא: ""איך אפשר לעזור לך?"".@והאיש אומר: ""תתקין לי אזעקה""...~"
12,"בעל אומר לאשתו: ""תזמיני לי וטרינר, אני חולה"".@אשתו שואלת: ""למה וטרינר ולא רופא?"".@הבעל עונה לה: ""אני חי כמו כלב, עובד כמו חמור ונשוי לבהמה!""...~"
13,שאלה: למה יש חלון במטבח?@תשובה: כדי שלאישה תהיה השקפת עולם...~
14,שאלה: איך משגעים פרסי?@תשובה: מכניסים אותו לחדר עגול ואומרים לו שיש שקל בפינה...~
15,"שלד מגיע לרופא: ""שלום דוקטור"".@הרופא: ""עכשיו באים?!""...~"
16,"המורה: ""הייתי רוצה שכל המטומטמים יעמדו"".@לאחר דומיה בכיתה, התרומם אחד התלמידים.@המורה: ""אז אתה מודה שאתה מטומטם?"".@התלמיד: ""לא בדיוק. פשוט לא היה נעים לי שאתה, אדוני המורה, עומד לבד""...~"
17,"המלאך גבריאל ניגש לאלוהים ורואה אותו מצוברח.@""מדוע שלא תצא לאיזה חופשה, אלוהים?"" שואל המלאך.@""להיכן?"", שואל אלוהים.@""לארץ הקודש"", מציע גבריאל.@""תשכח מזה... היה לי שם סטוץ לפני אלפיים שנה ועד היום לא שוכחים לי את זה""...~"
18,שאלה: מה ההבדל בין טרוריסט לאמא פולניה?@תשובה: עם טרוריסט אפשר לנהל משא ומתן...~
19,קיימים שני חוקים להצלחה בחיים:@1. אף פעם אל תחשוף את כל מה שאתה יודע.@...~
20,"גבר נכנס לחדר השינה עם כדור אספירין וכוס מים.@האישה: ""למה הכדור והמים?"".@הבעל: ""זה בשביל כאב הראש שלך"".@האישה: ""אבל אין לי כאב ראש"".@הבעל: ""אה! תפסתי אותך""...~"
21,"ערס ואישתו עוצרים מונית: ""כמה אתה לוקח לי עד דיזנגוף?"".@הנהג: ""עשרים שקל"".@הערס: ""כמה זה איתי ועם אישתי ביחד?"".@הנהג: ""גם עשרים שקל"".@הערס לאישתו: ""אמרתי לך שאת לא שווה כלום""...~"
22,"שלט בגן החיות:@""המבקרים מתבקשים לשמור על השקט ולא להבהיל את בת היענה. הרצפה מבטון!""...~"
23,"שאלה: איך מנקים בית של ערבי?@תשובה: עם מג""ב...~"
24,"דיאלוג באוטובוס:@הקשישה לצעירה: ""בזמני, נערות צעירות קמו לזקנים באוטובוס"".@הצעירה לקשישה: ""בזמנך, נערות בנות 17 עוד לא היו בהריון""...~"
25,"שאלו עשר נשים מארה""ב האם הם מוכנות לקיים יחסי מין עם ביל קלינטון.@רובן ענו: ""מה, שוב?!""...~"
26,"איש אחד שואל עורך דין: ""כמה אתה לוקח לשעה?"".@עורך הדין: ""אלפיים דולר לשלוש שאלות"".@האיש: ""כל כך יקר?"".@עורך הדין: ""כן. מה השאלה השלישית?""...~"
27,"איש אחד נעצר באשמת שרלטנות על כך שמכר לאנשים משקה נעורים.@שואל אותו החוקר: ""האם נעצרת בעבר?"".@""כן"", עונה האיש.@""מתי?"", שואל החוקר.@""ב-1601, ב-1825 וב-1904""...~"
28,"אמריקאי, סומאלי וישראלי יושבים במסעדה.@המלצר שלהם ניגש ומודיע: ""סליחה, אבל בגלל הפרה המשוגעת יש מחסור חמור בסטייקים"".@האמריקאי שואל: ""מה זה מחסור?"".@הסומאלי שואל: ""מה זה סטייקים?"".@הישראלי שואל: ""מה זה סליחה?""...~"
