ID,Name,TermTranslation,Background,InventedBy,InventedByMemberID,ObjectID,StatusID,PageHits,BackgroundNoHtml
19,סולטנה,הפרה הראשונה בגבעת ברנר,"לפרה הראשונה בג""ב קראו 'סולטנה', פרה ביירותית אדומה שהמליטה עגלה (חומה?) בשם 'עלייה' שצאצאיה (דור 18)חיים ברפת של היום. קצת 'הסטוריה' על הרפת: 
את 5 הפרות הראשונות של ג""ב קנה עבורם סורקין מעין חרוד.  
הרפת שכנה בצריף משותף עם הנגריה והאורווה. כשנולד העגל הראשון לא נמצא לו מקום ועקיבא נכנס למזכירות וקשר אותו לרגל של השולחן, וכך נמצא לו בית..
",,-1,4,2,2051,"לפרה הראשונה בג""ב קראו 'סולטנה', פרה ביירותית אדומה שהמליטה עגלה (חומה?) בשם 'עלייה' שצאצאיה (דור 18)חיים ברפת של היום. קצת 'הסטוריה' על הרפת: 
את 5 הפרות הראשונות של ג""ב קנה עבורם סורקין מעין חרוד.  
הרפת שכנה בצריף משותף עם הנגריה והאורווה. כשנולד העגל הראשון לא נמצא לו מקום ועקיבא נכנס למזכירות וקשר אותו לרגל של השולחן, וכך נמצא לו בית..
"
20,מקל גומי,"מגב, אביזר חיוני לשטיפת ה'חדר'","מקל הגומי היה אביזר חובה בכל בית ילדים ו'חדר' קיבוצי תקני. ילדים שגילו שליטה טובה במטאטא קיבלו לידיהם את מקל הגומי ששימש בשלב ראשון לשטיפה עם סמרטוט רטוב, אחר באה הורדת המים ולסיום הולבש סמרטוט יבש על המקל וכך כמעט הושלמה מלאכת השטיפה. מה שנותר היה להוריד כסאות בכיתה ונעלי בית ב'חדר' לרצפה - לאחר שנעשה וידוא רצפה יבשה..",לא ידוע,-1,4,2,1961,"מקל הגומי היה אביזר חובה בכל בית ילדים ו'חדר' קיבוצי תקני. ילדים שגילו שליטה טובה במטאטא קיבלו לידיהם את מקל הגומי ששימש בשלב ראשון לשטיפה עם סמרטוט רטוב, אחר באה הורדת המים ולסיום הולבש סמרטוט יבש על המקל וכך כמעט הושלמה מלאכת השטיפה. מה שנותר היה להוריד כסאות בכיתה ונעלי בית ב'חדר' לרצפה - לאחר שנעשה וידוא רצפה יבשה.."
22,נקיון יסודי,נקיון יסודי,"כל יום שישי בבתי הילדים היו מנקים ב'אופן יסודי'. הנקיון כלל: הרמת מזרונים, הזזת מיטות וניקוי פאנלים, נקוי רשתות החלונות במברשת, אדני החלונות בסמרטוט רטוב וכמובן שטיפה יסודית וניגוב ב'יבש'. המהדרין גם ציחצחו נעליים בחורף וסנדלים בקיץ.",,-1,4,2,1878,"כל יום שישי בבתי הילדים היו מנקים ב'אופן יסודי'. הנקיון כלל: הרמת מזרונים, הזזת מיטות וניקוי פאנלים, נקוי רשתות החלונות במברשת, אדני החלונות בסמרטוט רטוב וכמובן שטיפה יסודית וניגוב ב'יבש'. המהדרין גם ציחצחו נעליים בחורף וסנדלים בקיץ."
23,שמן דגים,"שמן דגים או ""די.די.טי. לשתיה'...","בשנות ה- 50 וה- 60 גרסו יודעי דבר רפואי שמאד בריא לילד הגדל לשתות מדי יום שמן דגים. הטעם הנורא לא היווה עילה מספקת להשתמטות מאותה מצווה בריאותית. דורות של ילדים חמקו או ניסו להתחמק מה'תור' שעמד לפני הגננת/ מטפלת. כל אחד בתורו פתח 'פה גדול' אליו רוקנה כפית גדושה בנוזל השמנוני והבריא..הגננות הותיקות ידעו להכניס את השמן ישר לגרון, הפחות מנוסות שמו אותו בפה ומשם הדרך לגינה או לכיור היתה קצרה..","יבל""ק",-1,4,2,2146,"בשנות ה- 50 וה- 60 גרסו יודעי דבר רפואי שמאד בריא לילד הגדל לשתות מדי יום שמן דגים. הטעם הנורא לא היווה עילה מספקת להשתמטות מאותה מצווה בריאותית. דורות של ילדים חמקו או ניסו להתחמק מה'תור' שעמד לפני הגננת/ מטפלת. כל אחד בתורו פתח 'פה גדול' אליו רוקנה כפית גדושה בנוזל השמנוני והבריא..הגננות הותיקות ידעו להכניס את השמן ישר לגרון, הפחות מנוסות שמו אותו בפה ומשם הדרך לגינה או לכיור היתה קצרה.."
24,סליפ,בגד ים תוצרת בית,"הסליפ הוא בגד ים מבד לבנים אותו תפרו במתפרת הקיבוץ. הסליפ נסגר על ידי חוט מהצד ויחודו - בפס צבעוני החוצה אותו לגובה. 2 תכונות בולטות יש לסליפ - בקפיצת ראש טובה הוא בדרך כלל מחליק עד הברכיים ושיושבים על הקיר או הדשא - הכל בחוץ..
למרות נחיתות תכונותיו של הסליפ הגיעו שחייני גבעת ברנר איתו להישגים מרשימים בזירה הארצית,והחזיקו בשיאי שחיה רבים. 
הישגו הבולט ביותר של סליפ היה בהגעתו ההיסטורית של יצחק לוריא לאולימפיאדת רומא 1960.
לצערן של תופרות הגבעה, הוא החליף את הסליפ ב'ספידו', ולכן סיים במקום 48.",עממי,-1,4,2,2076,"הסליפ הוא בגד ים מבד לבנים אותו תפרו במתפרת הקיבוץ. הסליפ נסגר על ידי חוט מהצד ויחודו - בפס צבעוני החוצה אותו לגובה. 2 תכונות בולטות יש לסליפ - בקפיצת ראש טובה הוא בדרך כלל מחליק עד הברכיים ושיושבים על הקיר או הדשא - הכל בחוץ..
למרות נחיתות תכונותיו של הסליפ הגיעו שחייני גבעת ברנר איתו להישגים מרשימים בזירה הארצית,והחזיקו בשיאי שחיה רבים. 
הישגו הבולט ביותר של סליפ היה בהגעתו ההיסטורית של יצחק לוריא לאולימפיאדת רומא 1960.
לצערן של תופרות הגבעה, הוא החליף את הסליפ ב'ספידו', ולכן סיים במקום 48."
25,החמור של רובניו,חמור עבודה עיקש להובלות קטנות ב'מחנה',"חמור קטן (יש אומרים בכלל אתון) ועיקש שיחד עם ראובן פצ'נובסקי (פדני) שכינויו 'רובניו' (עם אף סתום) עשה הובלות קטנות בדרכי המשק, בעיקר אוכל למטבח הורים. את מרבית הזמן בילו השניים בשכנוע הדדי ובשאלה: ""מי בכלל צריך אותנו? ולכן למה בכלל ללכת?"" (מספר 'עדי ראיה' מוכנים להשבע שראו את רובניו מחליף את החמור). המונח הנ""ל שימש בשיח ה'ברנרי' כמטאפורה לשתי סוגיות: האחת &#8211; זה נושא כה פעוט, אפילו החמור של רובניו יכול לעשותו. השניה &#8211; החוכמה שהפגנת כה פשוטה, אפילו חמורו של רובניו..
",עממי,-1,4,2,1886,"חמור קטן (יש אומרים בכלל אתון) ועיקש שיחד עם ראובן פצ'נובסקי (פדני) שכינויו 'רובניו' (עם אף סתום) עשה הובלות קטנות בדרכי המשק, בעיקר אוכל למטבח הורים. את מרבית הזמן בילו השניים בשכנוע הדדי ובשאלה: ""מי בכלל צריך אותנו? ולכן למה בכלל ללכת?"" (מספר 'עדי ראיה' מוכנים להשבע שראו את רובניו מחליף את החמור). המונח הנ""ל שימש בשיח ה'ברנרי' כמטאפורה לשתי סוגיות: האחת &#8211; זה נושא כה פעוט, אפילו החמור של רובניו יכול לעשותו. השניה &#8211; החוכמה שהפגנת כה פשוטה, אפילו חמורו של רובניו..
"
27,עירוניסט,"מישהו, בדרך כלל ילד שהגיע לביקור בקיבוץ 'מבחוץ'","במסגרת קידוש היחד הקיבוצי כל 'זר' נחשב ל'עירוניסט'.
לעירוניסט היו מספר תכונות שלא הותירו ספק לנחיתותו: 
א.הוא לבוש בבגדים משונים והחולצה שלו תמיד תחובה במכנסיים. 
ב.הוא עדין ורגיש מדי לשמש, לבוץ, לרעש לקללות ולמכות.
ג.שפתו מוזרה, למורה יקרא: המורה או מורתי, את אחותש'לו מכנה אחותי ובתופסת יצעק 'פוס'
ד.בקפיצה לבריכה יסתום את האף וישחה בסגנון ' גרזן', הראש מונף מצד לצד ואף פעם לא נרטב. בקיצור, שה'עירוניסט' ישאר בעיר עם דומיו ולא יתקרב לחצר הקיבוץ.",קיבוצניק,-1,4,2,1989,"במסגרת קידוש היחד הקיבוצי כל 'זר' נחשב ל'עירוניסט'.
לעירוניסט היו מספר תכונות שלא הותירו ספק לנחיתותו: 
א.הוא לבוש בבגדים משונים והחולצה שלו תמיד תחובה במכנסיים. 
ב.הוא עדין ורגיש מדי לשמש, לבוץ, לרעש לקללות ולמכות.
ג.שפתו מוזרה, למורה יקרא: המורה או מורתי, את אחותש'לו מכנה אחותי ובתופסת יצעק 'פוס'
ד.בקפיצה לבריכה יסתום את האף וישחה בסגנון ' גרזן', הראש מונף מצד לצד ואף פעם לא נרטב. בקיצור, שה'עירוניסט' ישאר בעיר עם דומיו ולא יתקרב לחצר הקיבוץ."
28,ילד חוץ,"ילד, לעיתים רחוקות ילדה, שהגיע לקיבוץ ללמוד ולחיות","כבר מהימים הראשונים של הקיבוץ, למדו בג""ב ילדים שהוריהם לא גרו בקיבוץ ולכן זכויותיהם ומעמדם נקבע בהתאם. מרבית הילדים הגיעו מצוידים ברגשי נחיתות ואם היה להם קצת בטחון עצמי, ילדי הקיבוץ דאגו להדחקתו. ילד חוץ, שתמיד דאגו להזכיר לו שהוא כזה, גם אחרי עשור שנים נראה ונשמע כ'לא שייך לנוף'. ילדי חוץ שהצליחו להשתלב בחברה - אין חיה כזו!!
",לא ברור,-1,4,2,3378,"כבר מהימים הראשונים של הקיבוץ, למדו בג""ב ילדים שהוריהם לא גרו בקיבוץ ולכן זכויותיהם ומעמדם נקבע בהתאם. מרבית הילדים הגיעו מצוידים ברגשי נחיתות ואם היה להם קצת בטחון עצמי, ילדי הקיבוץ דאגו להדחקתו. ילד חוץ, שתמיד דאגו להזכיר לו שהוא כזה, גם אחרי עשור שנים נראה ונשמע כ'לא שייך לנוף'. ילדי חוץ שהצליחו להשתלב בחברה - אין חיה כזו!!
"
29,שומרת לילה,חברה שתפקידה לשמור על שנת הילדים הערבה,"אחד ה'יתרונות' הבולטים של החינוך המשותף היה החופש המוחלט שקיבלו ההורים מילדיהם בלילה..תפקיד הדאגה לילדים מחצית היממה הועבר לשומרת הלילה שהיתה עוברת בין בתי הילדים והבתים הכוללים, מכסה את הילדים ששמיכתם נשמטה, מחליפה לתינוקות, מרגיעה את הנפשות הבוכיות, בקיצור 'אמא' תורנית לכמה מאות ילדים. עם התפתחות הטכנולוגיה קיבל כל בית ילדים משדר שבו יכלה השומרת לשמוע אם הכל רגוע ושלו. דורות של שומרות לילה סבבו על משמרתן, אכלו צ'יפס ולא מעט תעלולי קונדסים שמצאו את ביטויים בשיר הידוע: שומרת לילה נפלה בפיילה..",מונח קיבוצי אוניברסלי,-1,4,2,1997,"אחד ה'יתרונות' הבולטים של החינוך המשותף היה החופש המוחלט שקיבלו ההורים מילדיהם בלילה..תפקיד הדאגה לילדים מחצית היממה הועבר לשומרת הלילה שהיתה עוברת בין בתי הילדים והבתים הכוללים, מכסה את הילדים ששמיכתם נשמטה, מחליפה לתינוקות, מרגיעה את הנפשות הבוכיות, בקיצור 'אמא' תורנית לכמה מאות ילדים. עם התפתחות הטכנולוגיה קיבל כל בית ילדים משדר שבו יכלה השומרת לשמוע אם הכל רגוע ושלו. דורות של שומרות לילה סבבו על משמרתן, אכלו צ'יפס ולא מעט תעלולי קונדסים שמצאו את ביטויים בשיר הידוע: שומרת לילה נפלה בפיילה.."
32,להסתובב לקיר,פניה תקיפה של מטפלת לילדים בתקווה שירדמו,"החינוך המשותף שדאגת שנת ילדיו בפרט ושנת חבריו במיוחד היתה בראש מעייניו האמין שיש חשיבות עליונה שהילד ינום גם בצהריים. המשימה המורכבת של הרדמת שובבי הגבעה מלאי האנרגיה הוטלה על המטפלות של הגנים והבתים הכוללים, עד כיתה ה'...לאחר סיעור מוחות פדגוגי הגיעו המומחים למסקנה שאם פני הילד מופנות לקיר - יקל עליו להרדם. וכך מצאו את עצמן עשרות מטפלות גוערות מדי צהריים על הילדים שהתקשו להרדם באמצע היום - להסתובב לקיר!! . . הילדים בחושם הטבעי עשו כל שלעיל ידם כדי להסתובב לכיוון ההפוך ולתקשר עם חבריהם לחדר. ",,-1,4,2,2005,"החינוך המשותף שדאגת שנת ילדיו בפרט ושנת חבריו במיוחד היתה בראש מעייניו האמין שיש חשיבות עליונה שהילד ינום גם בצהריים. המשימה המורכבת של הרדמת שובבי הגבעה מלאי האנרגיה הוטלה על המטפלות של הגנים והבתים הכוללים, עד כיתה ה'...לאחר סיעור מוחות פדגוגי הגיעו המומחים למסקנה שאם פני הילד מופנות לקיר - יקל עליו להרדם. וכך מצאו את עצמן עשרות מטפלות גוערות מדי צהריים על הילדים שהתקשו להרדם באמצע היום - להסתובב לקיר!! . . הילדים בחושם הטבעי עשו כל שלעיל ידם כדי להסתובב לכיוון ההפוך ולתקשר עם חבריהם לחדר. "
33,עוגת אביגיל,עוגת חנק,"בליל חורף גשום, ה- 6 בינואר 1959 נחנקה אביגיל סלומון למוות וגופתה הושלכה בליפט נטוש ליד באר א'. שנה תמימה חקרו מיטב בלשי המשטרה את בעלה ציון שהכחיש כל מעורבות למקרה הטרגי. השנים חלפו, הרצח המצמרר סרב לרדת מסדר היום הקיבוצי והפרשה לא רק שלא נשכחה אלא עלתה וצצה בזירות נוספות. אחת מהן היא הזירה הגסטרונומית. נשות הקיבוץ נהגו להכין עוגות יבשות משהו, שהלכו בעיקר עם הקפה. בטיולים שנתיים ובחגי המשק העוגה היבשה כיכבה - גם כאן לא ניתן היה לקבוע את מועד הכנת העוגה, אלא רק את תוצאות פעולתה - תחושת חנק קלה.",,268,4,2,2671,"בליל חורף גשום, ה- 6 בינואר 1959 נחנקה אביגיל סלומון למוות וגופתה הושלכה בליפט נטוש ליד באר א'. שנה תמימה חקרו מיטב בלשי המשטרה את בעלה ציון שהכחיש כל מעורבות למקרה הטרגי. השנים חלפו, הרצח המצמרר סרב לרדת מסדר היום הקיבוצי והפרשה לא רק שלא נשכחה אלא עלתה וצצה בזירות נוספות. אחת מהן היא הזירה הגסטרונומית. נשות הקיבוץ נהגו להכין עוגות יבשות משהו, שהלכו בעיקר עם הקפה. בטיולים שנתיים ובחגי המשק העוגה היבשה כיכבה - גם כאן לא ניתן היה לקבוע את מועד הכנת העוגה, אלא רק את תוצאות פעולתה - תחושת חנק קלה."
34,תזמורת האומפפה,תזמורת כלי נשיפה ו..תוף לעידוד נבחרת הכדורסל,"בשנות ה- 60 שיחקה נבחרת גבעת ברנר בכדורסל בליגה הלאומית. הקבוצה שהגיעה להישגים יפים בליגה חבה את הצלחותיה ל- 3 גורמים עיקריים: 
א.האחים רייס שמגיל צעיר לא ידעו להפסיד ועשו ה- כ-ל כדי לנצח. 
ב.מגרש המצרינה ומשטח האספלט הקטלני שלו . 
ג.תזמורת האומפפה שניגנה מארשים ונעימות לכת בתחילת המשחק ובמחצית.  
בתזמורת היו חצוצרות, קרנות, טרומבון, הטובה של פלדי והתופים של קרסקס וזאק אביטן (ממבו). הרעש שידעה התזמורת להפיק ביחוד ברגעי השיא והקצב הלא סדיר היקנה לקבוצה המקומית יתרון חשוב וליריב כאב אזניים..",שם עממי,-1,4,2,2330,"בשנות ה- 60 שיחקה נבחרת גבעת ברנר בכדורסל בליגה הלאומית. הקבוצה שהגיעה להישגים יפים בליגה חבה את הצלחותיה ל- 3 גורמים עיקריים: 
א.האחים רייס שמגיל צעיר לא ידעו להפסיד ועשו ה- כ-ל כדי לנצח. 
ב.מגרש המצרינה ומשטח האספלט הקטלני שלו . 
ג.תזמורת האומפפה שניגנה מארשים ונעימות לכת בתחילת המשחק ובמחצית.  
בתזמורת היו חצוצרות, קרנות, טרומבון, הטובה של פלדי והתופים של קרסקס וזאק אביטן (ממבו). הרעש שידעה התזמורת להפיק ביחוד ברגעי השיא והקצב הלא סדיר היקנה לקבוצה המקומית יתרון חשוב וליריב כאב אזניים.."
